Epoch,Alcohol,Beverages,Commercially prepared items,Dairy,Fats and oils,Fruits,Grains,"Meats, eggs, and nuts",Other,Sugar and sweeteners,Vegetables
1570356000000,1131122070,2058064733,4136690541,883032559,155188805,769676650,747991273,1947763937,219619758,57406358,886508225
1570960800000,1114953220,1997350002,4232416718,889558486,155928075,749884968,753854464,1979724272,210359446,57620581,901775863
1571565600000,1108045561,1932314939,4182446335,872920491,152600916,733829050,731619336,1905766014,202136438,56151788,892488116
1572170400000,1113043821,1909665520,4198536609,864282733,148611118,725282536,718694222,1846981551,196600731,55002575,892768288
1572775200000,1122566997,1899189299,4470517771,875037558,153662530,714725969,729263369,1874044710,214563584,56635635,891346918
1573380000000,1087127026,1937051703,4084148118,902777134,172446735,733237749,762365222,2012700539,223878556,62159514,902449728
1573984800000,1081178659,1888911347,4129187639,905806946,179312659,728472217,758916869,2016813447,215862625,64484568,903518951
1574589600000,1187040103,1983695324,4393315125,984627496,234530885,783294091,802617100,2236103118,244760670,79681594,1004561939
1575194400000,1367143759,1946397868,4228724308,1006629363,256063154,771858281,788781230,2054363712,274557801,88017830,993385347
1575799200000,1052166426,1859558458,4174786295,869877191,157566087,705914210,742404385,1880583922,224494088,65759451,808121302
1576404000000,1130325294,1912663718,4503242275,908945905,183292116,722561521,760611821,2043168908,224158982,74812357,835407697
1577008800000,1380330601,2031738019,4996286135,1048978586,231486596,794387171,828383908,2487080897,253220653,90143882,979891180
1577613600000,1451757321,1901756529,4179903086,965156442,186819952,736227692,744929923,2210525291,227289860,67201128,933040342
1578218400000,1147547997,1855203803,3845126076,921836670,151705954,772476946,760172025,2097992364,228657716,55270486,955556843
1578823200000,962127748,1870129723,4015011598,927203458,154239331,801702074,786040218,2068131984,216031749,57902004,978304081
1579428000000,1010338842,1834523189,4002002845,914939948,151156488,792729761,763583383,2016483721,205927787,55637387,954822815
1580032800000,989769427,1792998201,3886350465,889570170,144900743,775579558,730328796,1912285859,197040285,54163513,911970772
1580637600000,1082736340,1876102455,4128914871,933288510,151367877,797443317,746799430,2021885234,210004175,55524958,937706381
1581242400000,1024150529,1877467446,4215222074,922899382,154176812,807984041,765992647,2033046003,221193139,58361266,928409259
1581847200000,1067396863,1861595525,4598595171,892132539,151959630,827650083,743982284,2024783646,207022502,57360497,907633582
1582452000000,1029572327,1867980862,3963160758,890767851,146984220,789947193,745869955,1940793084,200631600,55096551,907007980
1583056800000,1046660313,1974061427,4114811819,904070407,159254251,825973330,778403825,2037772486,214605773,58439652,943388739
1583661600000,1082538780,2137948563,4419614001,947610707,174280888,873212246,848798062,2240615395,248031103,66178040,1010346240
1584266400000,1357849858,2712505807,6050565111,1325051480,287272774,1142958884,1395398329,3577783374,338977964,101968798,1514654908
1584871200000,1458874868,2458669759,5831121675,1281874129,308776668,1074687269,1362493664,3556663895,311890969,109861405,1450106035
1585476000000,1273835589,1913870702,4253449274,983613331,218763301,869424464,941747378,2483922211,210298710,79779746,1090303979
1586080800000,1346306389,2013124464,4596643672,1092848888,242895624,938403586,1003754170,2730199376,251354200,86625599,1184577145
1586685600000,1370854979,2018050739,4766758319,1101291285,241200676,944684171,972143276,2802257367,249816492,86251734,1197700003
1587290400000,1374248298,2001717759,4378979435,1042250381,218236947,903475267,909530411,2595679487,238170226,78553655,1115630642
1587895200000,1432663713,2091183746,4288792082,1047506516,215184476,938655809,905157439,2589069852,236406206,76138408,1123364996
1588500000000,1505541535,2193181115,4384576136,1049874446,211654542,958978362,908718199,2819534676,252639082,75238617,1130863487
1589104800000,1528584160,2240825512,4526471920,1052309356,212890644,989642778,904974918,2841355319,256668682,75258551,1136786106
1589709600000,1466271498,2204267290,4330799951,996416308,195633666,962813143,854837723,2504047847,238933629,69511598,1072542689
1590314400000,1590363592,2305885140,4449420667,1008318940,195316385,1039103805,871809640,2648378224,239620440,68160973,1109830746
1590919200000,1489229430,2247710617,4193620257,951950330,173035241,998216309,816331403,2415906062,228860387,61519010,1039170641
1591524000000,1462594245,2368320525,4336234626,965502727,173395273,1005101838,832807191,2445494833,243508297,62490475,1038267922
1592128800000,1450707709,2385398258,4362942392,956604775,171985080,992050612,829269273,2461066099,232017786,61843531,1030386330
1592733600000,1491508923,2367023185,4410327625,961905608,174196966,1000770343,827844594,2573438067,231027061,62576459,1045163354
1593338400000,1432125258,2356072606,4202801846,925565720,162292109,973342443,792724370,2356455235,220480090,59110981,986760414
1593943200000,1664323125,2536992888,4564895580,1003632154,181327780,1093922651,877594891,2795494315,258878832,66300624,1118089310
1594548000000,1371690537,2368668624,4223492303,935131883,165769530,985627888,809730902,2372676222,233420017,60762767,1002997740
1595152800000,1394534979,2410110206,4316235453,961339053,171771288,1011552617,834132875,2395429410,233144426,62926578,1020325799
1595757600000,1381496620,2345397902,4202035435,943001196,164878916,982433255,811776852,2305974533,224878389,60873281,988890020
1596362400000,1385753837,2351345031,4187921699,946960031,165519518,972832704,811721358,2276671280,229197498,60326087,973180535
1596967200000,1373830902,2355325919,4304110907,967555337,172482239,970882256,827474249,2346123034,243040580,62953238,981970952
1597572000000,1377960358,2396227030,4306120055,971382849,168918480,969995650,821656124,2314274502,233059226,61541442,977452900
1598176800000,1364924954,2343507616,4271570511,968097883,165130159,939904775,820227022,2256366981,225741839,60780713,968775534
1598781600000,1337039424,2289857282,4161630219,958443490,161599692,901832831,801188138,2182477113,220082100,58844184,948091544
1599386400000,1443731756,2349970758,4381138026,992999070,175247284,928296404,836778741,2410805115,244366918,62348911,1002650724
1599991200000,1313566800,2203229424,4308383595,976818827,173075703,878546257,822635391,2305524570,233622181,62190968,993436517
1600596000000,1293231826,2180453685,4297557391,965891160,168532188,848854430,809544750,2216592472,226417995,61831598,985205853
1601200800000,1286321657,2143898976,4232723694,951939092,161211981,816406592,793217439,2143423887,220095174,60061494,976805877
1601805600000,1278947484,2181154240,4340795590,970275531,165650306,823716487,809910714,2214090274,239101678,62160434,1014508873
1602410400000,1276028813,2199421365,4431611688,970255545,173600291,820565362,822154794,2255299478,236540077,64298319,1018829880
1603015200000,1260507893,2155189658,4410916086,961560604,169562523,808676371,807987187,2206300417,229135461,63064657,1021464245
1603620000000,1247808069,2113250093,4413639564,954869915,167941993,793869963,801718357,2176071778,227400115,63568011,1025371937
1604224800000,1302903053,2102651108,4754474349,973416407,175562044,788598083,817060408,2206892452,237424793,67237555,1038473126
1604829600000,1251730385,2146601888,4401799077,972825914,184784564,798668612,830050241,2312038486,251047509,68669125,1015486240
1605434400000,1241733502,2153464388,4460057400,1006665015,199520857,820268849,849888436,2421206082,246120823,73934785,1044113296
1606039200000,1341658650,2235208346,4844866392,1118240180,265029092,879011090,929431386,2742992003,287908157,94705065,1192217458
1606644000000,1444755282,2031021940,4289474570,1044469305,252803271,800800813,814100207,2207215151,290412077,92158991,1055088264
1607248800000,1176509370,2007650293,4358036498,962505542,172726157,770765955,814951832,2151702666,246798818,70943820,941324025
1607853600000,1246809470,2090963913,4721592570,1006647831,199195655,787518971,843985677,2373458349,251906458,83466845,982878483
1608458400000,1383491894,2128448035,5012164095,1097335600,231188178,818292627,881562748,2673676556,269538588,96923619,1052442972
1609063200000,1591217425,2073386772,4727585213,1119881550,227689810,817402968,838152909,2662973590,268190272,90375122,1086125548
1609668000000,1431477603,2041380798,4105114113,1022286630,169949311,827759964,803577791,2413692636,248483041,61191544,1055757558
1610272800000,1089888032,2071189060,4240875452,1010158302,175415216,856847113,846711792,2360834229,248374624,64866508,1092008634
1610877600000,1159942977,2119465931,4394132133,1022117925,178782615,873180945,858585997,2392076115,240655051,66534133,1098953903
1611482400000,1158226037,2058779476,4291733101,997932790,170776932,860001593,822290901,2282527923,228840907,62420173,1054986962
